"","Generation","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"276",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","O","Y","O","Y","Y","Y","O","Y","Y","O","O","O","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y"
"277",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","O","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","O","Y","O","Y","O","Y","O","O","Y","Y","O","Y","O","Y","B","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y"
"278",40,"Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","Y","O","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","B"
"279",40,"Y","B","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","O","O","Y","Y","Y","O","Y","O","Y","Y","Y","B","Y","Y","Y","Y","Y","B","B","B","Y","Y","B","Y","B","Y","Y","Y"
"280",40,"Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","Y","Y","O","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","O","O","O","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","O","Y","Y","Y","Y","Y"
"281",40,"Y","B","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y"
"282",40,"B","Y","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","O","Y","Y","O","Y","Y","O","Y","O","O","Y","Y","Y","B"
"283",40,"B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","O","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","O","O","O","Y","Y","O","Y","Y"
"284",40,"B","O","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","Y","O","Y","Y","Y","Y","O","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","O","Y","O","O","O","O","Y","Y","Y","Y","Y","O","O","Y","Y","Y","B","Y","O","Y","Y","Y","Y","O","O","O","Y","O","Y","O"
"285",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","O","O","O","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","O","O","O","Y","O","Y","O","Y","Y","Y","Y","O","O","O","B","Y","O","Y","Y","B","Y","O","O","O","Y","O","O","Y"
"286",40,"O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","O","O","O","O","O","Y","O","O","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","O","Y","O","O","O","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","B","B","Y","O","O","O","O","O","Y"
"287",40,"O","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","O","Y","Y","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","O","Y","Y","O","O","O","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","B","B","O","Y","O","O","O","O","Y"
"288",40,"O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","O","O","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","Y","O","O","Y","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","Y","Y","O","O","O","Y"
"289",40,"Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","O","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","B","Y","O","Y","Y","O","Y","O","O","Y","O","O","Y"
"290",40,"Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","O","B","O","O","O","Y"
"291",40,"O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","Y","Y","O","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","O","O","O","O","O","Y"
"292",40,"O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","O","O","O","Y","O","O","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","O","Y","Y","Y","O","Y","Y","O","Y","Y","O","Y"
"293",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","O","O","Y","O","O","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","O","Y","O","Y","Y","Y","O","Y"
"294",40,"Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","O","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y"
"295",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O"
"296",40,"O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y"
"297",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","Y","O","O","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","O","Y","Y","Y","Y"
"298",40,"Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","O","O","O","O","Y","O","O","Y","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","Y"
"299",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","O","O","O","O","Y","Y","Y","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","Y"
"300",40,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","Y","O","O","Y","O","Y","Y","O","O","Y","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y"
"301",60,"O","O","O","O","Y","O","Y","Y","O","O","O","O","Y","O","O","O","Y","O","O","Y","O","Y","O","O","Y","Y","Y","O","O","O","Y","O","O","O","O","O","O","O","Y","O","O","O","Y","O","O","Y","O","O","O","O","O","Y","Y","O","Y","Y","Y","Y","O","O","O","O","O","O","O","O","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","O","O","Y","Y","O","O","O","O","Y","O","Y","Y","Y","Y","Y","O"
"302",60,"Y","O","O","O","O","Y","O","O","O","O","O","O","O","O","Y","O","O","O","O","O","O","Y","O","Y","O","O","Y","O","O","O","O","O","O","O","Y","Y","O","O","Y","O","Y","O","Y","Y","O","Y","O","O","O","Y","Y","O","Y","Y","Y","O","Y","Y","O","Y","O","O","O","Y","Y","O","Y","O","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","O","Y","O","O","Y","Y","O","Y","O","Y","O","Y","O","O","O","Y","Y","O"
"303",60,"O","O","O","Y","O","Y","O","O","O","O","Y","O","Y","Y","Y","Y","O","O","O","O","O","Y","O","O","Y","O","O","O","Y","O","O","Y","O","O","O","Y","O","O","O","Y","Y","Y","O","O","O","O","O","O","O","Y","O","O","Y","Y","Y","O","Y","O","O","O","O","O","O","O","O","Y","O","O","O","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","O","Y","Y","O","O","O","O","O","Y","Y","O","O","Y","O"
"304",60,"O","Y","Y","O","Y","O","Y","Y","O","Y","O","Y","O","Y","O","O","Y","O","O","O","O","Y","O","O","O","Y","O","O","O","O","O","O","O","O","Y","O","Y","O","O","Y","O","Y","O","O","O","Y","Y","O","O","Y","O","Y","Y","Y","Y","O","O","Y","O","O","Y","O","O","Y","O","O","O","O","O","O","Y","O","Y","O","Y","Y","O","O","Y","Y","Y","O","O","O","O","Y","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","O","Y","O"
"305",60,"B","O","O","O","Y","Y","O","O","O","Y","Y","Y","Y","Y","Y","O","O","O","O","O","O","Y","O","O","Y","O","O","Y","O","Y","O","O","O","Y","Y","O","Y","Y","O","Y","O","Y","O","O","O","O","Y","O","O","Y","O","O","Y","O","Y","O","O","Y","Y","O","O","O","O","Y","O","O","O","O","O","O","Y","O","Y","Y","Y","Y","O","Y","Y","Y","O","O","Y","O","Y","Y","Y","Y","O","O","O","O","Y","Y","O","O","Y","Y","Y","Y"
"306",60,"B","Y","Y","O","O","Y","Y","O","Y","Y","O","Y","Y","O","O","Y","O","Y","O","O","O","Y","Y","O","O","Y","Y","Y","O","O","O","O","O","Y","O","O","Y","Y","Y","Y","O","O","O","O","O","Y","Y","Y","O","O","Y","Y","O","Y","O","O","Y","O","Y","O","O","O","Y","O","O","Y","O","O","Y","O","Y","Y","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","O","O","Y","O","O","O","Y","Y","Y","Y","Y","O","Y","Y","B","O","Y"
"307",60,"O","O","O","O","O","Y","B","Y","O","Y","Y","O","O","O","O","O","O","Y","O","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","O","O","O","O","O","Y","O","O","O","Y","O","O","O","O","O","Y","Y","O","O","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","O","Y","O","O","Y","Y","O","O","O","Y","O","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","O","O","O","Y","Y","O","O","O","Y","O","O","Y","O","Y","Y","Y","Y","Y"
"308",60,"Y","Y","B","O","Y","B","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","O","O","O","Y","O","O","O","Y","O","Y","O","Y","Y","O","Y","Y","Y","Y","O","O","O","O","Y","Y","Y","O","O","Y","O","Y","O","Y","Y","O","O","Y","O","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","O"
"309",60,"O","B","Y","Y","Y","O","Y","Y","O","O","O","Y","O","Y","O","O","Y","O","O","O","Y","Y","O","Y","Y","O","Y","Y","O","O","O","O","O","O","O","O","O","Y","Y","O","Y","Y","Y","Y","Y","O","O","B","Y","B","O","O","Y","O","O","O","Y","O","O","O","Y","O","O","O","O","Y","O","O","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","O","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","O","Y","Y","O","Y"
"310",60,"O","Y","B","Y","O","B","Y","O","Y","O","O","O","O","Y","O","O","Y","O","Y","O","O","O","O","O","Y","Y","Y","Y","O","Y","O","O","O","O","Y","Y","Y","Y","Y","Y","O","O","O","O","Y","Y","B","O","O","O","O","Y","O","Y","O","O","O","Y","O","Y","O","O","O","O","O","O","O","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","O","O","Y","Y","Y","O","Y","Y","Y","O","Y","Y"
"311",60,"B","Y","Y","Y","Y","B","B","O","Y","Y","O","Y","O","Y","O","Y","Y","Y","O","O","O","O","O","Y","Y","O","O","Y","Y","O","O","O","O","Y","O","Y","Y","O","Y","Y","O","Y","Y","O","O","Y","O","O","O","Y","O","Y","B","O","O","O","O","O","O","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","Y","Y","Y"
"312",60,"Y","Y","B","B","B","O","B","Y","B","Y","O","Y","Y","O","Y","Y","Y","O","O","Y","O","Y","Y","O","Y","O","O","O","O","O","O","O","Y","O","O","O","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","O","O","Y","B","O","Y","O","O","O","Y","O","O","O","O","O","O","Y","O","Y","O","Y","O","Y","O","O","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","B"
"313",60,"Y","Y","B","O","B","O","Y","Y","O","O","O","O","O","O","Y","O","O","Y","O","O","Y","Y","Y","Y","Y","O","O","O","O","O","O","O","Y","O","O","O","Y","Y","O","Y","O","Y","O","O","O","Y","Y","Y","O","Y","Y","B","O","O","Y","O","O","O","Y","O","O","O","O","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","B"
"314",60,"O","O","Y","Y","O","Y","Y","O","O","O","O","O","O","O","O","O","O","O","Y","O","O","Y","O","Y","Y","O","Y","O","O","O","Y","Y","Y","Y","O","O","Y","Y","O","Y","Y","O","Y","B","O","Y","Y","Y","Y","B","Y","Y","Y","O","Y","O","O","O","O","O","O","O","O","O","O","Y","O","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","Y","Y","Y","O","B"
"315",60,"Y","Y","O","O","O","O","Y","O","O","O","B","O","Y","Y","O","O","O","Y","Y","O","O","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","Y","Y","O","Y","O","Y","Y","Y","O","O","B","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","O","O","O","Y","Y","Y","O","O","O","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","O","O","Y","Y","Y","Y","Y","Y","O","O","Y","Y","O","Y","O","O","O"
"316",60,"Y","O","Y","Y","O","Y","Y","Y","O","O","Y","Y","Y","O","O","Y","O","O","O","Y","Y","Y","O","O","O","O","O","Y","Y","O","O","Y","Y","Y","O","O","O","O","Y","Y","Y","Y","Y","O","B","O","B","B","Y","Y","O","Y","O","B","Y","O","Y","O","O","O","Y","O","O","O","O","Y","Y","O","Y","Y","Y","Y","O","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","O","O","O","O","O"
"317",60,"Y","Y","B","Y","Y","Y","O","Y","O","Y","O","O","O","Y","O","Y","O","O","O","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","O","O","Y","Y","O","O","O","Y","Y","O","Y","O","Y","Y","O","Y","Y","O","O","O","Y","Y","O","Y","B","Y","B","Y","Y","Y","O","Y","O","O","Y","O","Y","O","Y","Y","Y","O","O","Y","O","Y","O","Y","Y","O","O","Y","Y","O","Y","Y","Y","O","Y","Y","Y","O","O","Y","O","Y","Y","Y","O"
"318",60,"O","O","Y","Y","Y","O","Y","Y","O","O","Y","O","O","O","O","O","Y","O","Y","O","O","Y","O","O","Y","Y","O","O","O","O","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","O","Y","Y","O","O","Y","Y","Y","O","Y","Y","O","B","O","B","O","Y","Y","Y","O","Y","O","Y","O","Y","Y","O","Y","Y","Y","O","O","Y","O","O","O","O","Y","O","O","Y","O","O","O","O","Y","Y","Y","Y","O","O","O","O","O","Y","O","O"
"319",60,"Y","Y","Y","Y","Y","O","Y","O","O","O","O","O","O","O","O","O","O","Y","O","O","O","O","O","O","O","Y","Y","O","O","O","Y","O","Y","Y","O","O","O","Y","Y","Y","Y","O","O","Y","O","O","O","O","O","O","Y","O","Y","Y","O","O","O","O","O","O","O","O","O","Y","Y","O","O","O","Y","O","O","O","O","Y","O","Y","Y","O","O","O","O","O","O","Y","Y","O","Y","Y","Y","Y","Y","O","O","O","Y","O","O","O","Y","O"
"320",60,"O","O","O","Y","Y","Y","O","Y","O","O","O","O","O","O","O","O","O","Y","O","O","Y","Y","O","O","O","Y","Y","Y","O","Y","Y","O","O","Y","O","O","O","O","O","Y","Y","O","Y","Y","O","O","O","O","Y","O","Y","Y","Y","O","Y","O","Y","B","B","O","O","O","O","O","Y","Y","Y","O","O","Y","O","O","O","O","Y","Y","Y","O","Y","O","O","O","O","O","Y","O","O","Y","Y","O","O","O","O","Y","Y","O","Y","Y","Y","Y"
"321",60,"O","O","O","Y","Y","O","O","Y","O","O","Y","O","Y","O","O","Y","Y","O","Y","Y","O","O","O","Y","Y","Y","Y","O","Y","O","O","O","Y","Y","Y","O","O","Y","Y","O","B","Y","O","Y","Y","Y","O","O","Y","O","O","O","O","Y","Y","O","Y","O","Y","O","O","Y","O","O","Y","O","Y","O","O","Y","Y","O","Y","Y","Y","Y","O","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","O","O","O","Y"
"322",60,"Y","O","Y","Y","Y","Y","O","Y","O","O","O","O","O","O","Y","O","O","O","Y","Y","O","O","O","Y","Y","O","Y","Y","Y","O","O","O","Y","O","Y","Y","Y","Y","O","O","Y","Y","O","Y","O","Y","O","O","O","O","O","O","O","Y","O","O","O","Y","Y","O","O","O","Y","O","Y","Y","Y","O","O","O","O","Y","O","O","Y","Y","O","O","O","O","O","O","Y","Y","Y","Y","Y","O","O","Y","Y","Y","O","O","O","O","Y","O","Y","Y"
"323",60,"O","O","O","O","O","Y","O","Y","O","O","O","O","O","O","O","Y","O","O","Y","O","Y","O","O","Y","Y","Y","Y","O","Y","O","Y","O","Y","O","Y","O","Y","Y","Y","O","Y","O","O","Y","O","O","Y","O","O","Y","O","O","O","O","O","O","Y","Y","Y","Y","O","Y","O","O","Y","O","O","Y","O","O","Y","Y","Y","O","O","Y","Y","O","Y","Y","O","Y","Y","Y","Y","O","Y","O","Y","Y","Y","O","O","O","O","O","O","O","Y","O"
"324",60,"Y","Y","Y","O","Y","Y","Y","O","O","Y","O","O","O","O","O","O","O","O","O","O","Y","O","O","O","Y","Y","O","Y","O","Y","Y","O","O","O","Y","O","Y","Y","Y","B","O","Y","O","O","O","O","O","O","Y","Y","Y","O","O","O","O","O","O","Y","Y","Y","Y","Y","O","O","Y","O","O","Y","O","O","O","Y","O","Y","Y","O","O","O","O","O","Y","O","Y","Y","O","Y","Y","Y","Y","O","O","O","O","O","O","Y","O","O","O","Y"
"325",60,"O","O","O","Y","Y","O","O","O","Y","Y","Y","O","O","O","O","O","O","Y","Y","Y","O","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","Y","Y","O","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","O","O","Y","O","O","O","O","Y","O","O","O","O","B","Y","O","Y","O","O","O","O","O","Y","Y","O","Y","O","O","O","O","O","O","O","O","O","O","Y","O","O","Y","Y","O","Y","O","Y","Y","O","O","Y","Y","Y","Y","O","O","O"
