"","Generation","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"114",20,"B","B","B","B","O","B","B","B","O","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","B","Y","Y","Y","O","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"115",20,"Y","Y","O","O","B","O","Y","B","O","B","B","B","B","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","Y","Y","B","B","Y","Y","Y","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","B","Y","O","Y","Y","Y","Y","Y","B","Y"
"116",20,"Y","O","B","Y","Y","Y","O","O","O","B","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","B","B","B","B","B","O","Y","O","Y","Y","Y","Y","B","Y","B"
"117",20,"Y","Y","Y","Y","Y","O","O","O","O","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","O","B","Y","Y","B","O","Y","Y","O","Y","Y","Y","B"
"118",20,"Y","B","Y","Y","Y","Y","O","B","O","O","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","B","B","B","Y","O","B","Y","Y","B","B","B","Y","Y","Y","Y","Y","B"
"119",20,"Y","Y","Y","Y","Y","O","O","O","O","B","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","O","Y","O","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","O","B","Y","Y","B","B","B","Y","Y","Y","Y","Y","Y"
"120",20,"Y","B","Y","Y","Y","Y","Y","O","O","O","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","B","B","Y","Y","Y","O","B","B","B","Y","Y","Y","Y","Y","Y"
"121",20,"Y","B","O","O","O","Y","O","O","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","B","Y","O","B","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","B","Y","Y","B","B","Y","Y","O","B","Y","Y","Y","Y"
"122",20,"Y","Y","O","Y","O","Y","B","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","O","Y","B","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","Y","B","Y","B","Y","B","Y","B","Y","B","Y"
"123",20,"Y","B","Y","Y","Y","Y","B","Y","O","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","O","B","B","Y","B","B","Y","B","B","B","Y"
"124",20,"B","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","Y","B","Y","Y","Y","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","Y","Y","B","Y","B","Y","B","Y","Y","Y","B","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","Y","B","B","Y","B","B","Y","Y"
"125",20,"B","Y","Y","Y","Y","Y","O","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","B","B","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","B","B","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","Y","Y","B","B","O","B","B","Y","Y","Y","Y"
"126",20,"B","Y","Y","Y","B","Y","Y","B","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","O","Y","B","Y","Y","B","Y","B","Y","O","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","O","B","B","B","Y","B","Y","Y","B","Y","B","Y","B","B","B","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","B","B","Y","O","B","B","B","B","Y","Y","Y","Y"
"127",20,"Y","Y","Y","B","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","B","Y","Y","Y","B","Y","B","B","Y","O","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","B","B","Y","B","B","B","B","B","Y","Y","B","Y","Y","B","B","B","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","Y","B","Y","B","B","B","Y","O","B","B","B","Y","B","B","Y","Y"
"128",20,"Y","Y","Y","Y","B","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","B","Y","B","O","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","B","B","Y","Y","B","Y","B","Y","B","B","B","B","B","B","Y","Y","Y","Y","B","Y","Y","Y","B","B","B","Y","Y","Y","O","O","Y","O","O","O","Y","B","B","B","O","B","O","Y","Y","B","Y","B","B","B","Y","Y","Y","B","Y","Y"
"129",20,"Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","B","B","Y","O","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","B","B","B","Y","Y","Y","B","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","O","Y","Y","O","O","Y","B","O","B","B","B","O","Y","B","O","O","Y","Y","Y","B","Y","B","Y","Y","Y"
"130",20,"Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","O","Y","O","Y","Y","Y","B","Y","O","Y","O","Y","B","B","B","O","B","O","O","O","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","O","O","Y","B","Y","B","Y","B","O","Y","B","Y","Y","O","B","B","B","B","Y","Y","Y","Y"
"131",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","B","B","B","O","O","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","O","Y","O","Y","B","B","B","B","Y","Y","Y","Y","B","B","Y","B","Y","Y","Y","Y","Y"
"132",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","O","Y","Y","B","O","O","Y","B","O","Y","Y","O","O","B","Y","O","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","O","Y","B","O","Y","B","Y","B","B","Y","O","Y","O","Y","B","Y","O","B","Y","Y","Y","Y"
"133",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","B","B","Y","O","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","O","Y","B","Y","B","B","Y","B","Y","Y","O","O","B","Y","Y","Y","Y","Y","Y"
"134",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","O","O","Y","O","Y","B","B","O","B","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","B","Y","Y","B","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","O","Y","Y","Y","B","Y","B","B","Y","Y","B","O","B","Y","B","Y","Y","Y","Y","Y","Y"
"135",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","O","Y","B","B","Y","Y","Y","Y","Y","B","B","Y","Y","B","Y","B","B","Y","B","B","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","B","Y","B","Y","Y","Y","O","Y","O","O","O","O","Y","Y","Y","Y","Y","Y"
"136",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","O","Y","O","B","Y","B","O","Y","Y","Y","Y","B","Y","Y","B","O","B","O","Y","B","B","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","B","Y","Y","B","Y","Y","O","B","Y","O","Y","Y","Y","Y","Y","Y"
"137",20,"Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","B","Y","Y","O","Y","B","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","O","B","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y"
"138",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","Y","Y","Y","Y","Y","B","Y","Y","Y","B","O","Y","Y","Y","Y","Y","Y","O","B","Y","B","Y","B","B","B","B","B","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","O","O","Y","Y","Y","Y","Y"
"139",20,"Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","Y","Y","O","B","O","Y","Y","Y","Y","O","O","Y","Y","B","O","Y","B","B","B","O","B","Y","B","B","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y"
"140",20,"Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","B","Y","Y","O","Y","Y","B","B","B","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","B","B","B","B","Y","B","B","B","B","O","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","O","Y","O","Y","Y","Y","B","Y","Y","Y","Y"
"141",20,"Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","O","O","Y","B","O","O","Y","Y","B","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","B","O","O","Y","B","B","Y","Y","B","Y","B","B","B","B","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","O","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y"
"142",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","O","O","Y","B","O","Y","B","O","O","B","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","B","O","O","B","B","Y","B","B","B","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","O","Y","O","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","B","Y","Y","Y","Y","B","B"
"143",20,"B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","O","B","Y","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","B","Y","Y","Y","Y","Y","B","Y"
"144",20,"B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","O","O","B","B","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","B","O","Y","Y","B","B","B","Y","Y","B","Y","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","Y","Y","Y","B","Y","O","Y","O","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","B","Y","Y","B","Y","B","Y","B"
"145",20,"B","Y","Y","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","B","B","Y","B","B","B","O","B","Y","O","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","B","Y","Y","B","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","Y","Y","Y","O","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","B","B","B","B"
"146",20,"B","Y","B","B","Y","B","B","Y","Y","B","Y","Y","Y","Y","B","B","B","B","Y","B","Y","B","B","B","B","Y","Y","B","Y","Y","B","Y","Y","O","Y","Y","Y","Y","Y","B","B","Y","O","Y","O","Y","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","O","Y","Y","Y","B","B","Y","B"
"147",20,"B","Y","B","B","Y","B","B","Y","Y","B","Y","Y","Y","Y","B","O","O","B","Y","B","Y","Y","Y","B","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","B","Y","O","Y","B","O","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y"
"148",20,"Y","Y","B","B","B","B","Y","B","Y","Y","B","Y","B","Y","B","Y","O","B","Y","B","B","Y","B","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","O","B","Y","B","Y","B","Y","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","O","B","B","Y","Y","Y","Y","Y","O","O","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","B","Y","Y","Y","Y","Y","Y","Y"
"149",20,"Y","Y","B","B","B","B","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","B","B","Y","B","Y","Y","Y","B","Y","Y","Y","B","Y","O","Y","Y","Y","O","Y","Y","O","O","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","O","Y","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"150",20,"B","Y","B","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","B","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","O","B","Y","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","O","Y","Y","B","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","O","Y","Y","Y","Y","Y","Y","Y"
"151",20,"B","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","O","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","B","Y","B","Y","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B"
"152",20,"Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","B","Y","Y","Y","B","B","B","B","B","Y","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","B","O","Y","Y","Y","B","B","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","Y"
"153",20,"Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","B","Y","Y","Y","B","B","Y","B","Y","Y","B","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","O","Y","O","Y","O","O","Y","Y","O","B","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","O","Y"
"154",20,"Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","Y","Y","Y","Y","Y","B","Y","Y","O","Y","B","B","Y","Y","Y","Y","Y","Y","B","B","B","B","Y","Y","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","O","Y","B","O","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","B","Y","B","Y","Y","B","Y","Y","B","Y"
"155",20,"O","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","B","B","Y","Y","O","Y","Y","B","Y","B","B","Y","Y","Y","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","B","B","B","B","Y","O","B","B","Y","Y","Y","O","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B"
"156",20,"O","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","B","Y","Y","B","Y","Y","B","Y","Y","Y","B","Y","B","B","Y","B","B","B","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","B","Y","B","B","B","Y","Y","B","Y","B","B","Y","Y","O","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","B","Y","B","Y","Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"157",20,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","B","B","B","B","Y","B","Y","B","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","B","O","B","Y","Y","Y","B","Y","O","Y","O","O","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B"
"158",20,"B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","B","Y","Y","Y","B","Y","Y","B","B","B","Y","B","B","B","B","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","B","B","Y","Y","B","O","Y","Y","Y","O","B","Y","Y","O","B","O","B","Y","Y","Y","B","Y","B","O","B","B","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y","Y"
"159",20,"Y","B","B","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","B","Y","Y","Y","B","Y","B","B","B","B","B","B","Y","B","B","B","B","B","Y","B","Y","Y","Y","Y","B","B","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","B","Y","Y","Y","B","B","B","O","O","O","O","Y","O","B","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y"
"160",20,"Y","Y","B","B","Y","O","Y","O","Y","B","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","B","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","Y","Y","B","Y","Y","O","O","O","B","Y","O","B","Y","B","Y","Y","B","Y","B","Y","Y","Y","Y","B","Y","B","Y","Y","B","B","Y","Y","Y","Y","Y"
"161",20,"Y","Y","Y","Y","Y","Y","Y","B","Y","Y","B","Y","Y","B","Y","Y","B","Y","B","B","Y","Y","Y","B","B","B","B","Y","B","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","O","B","B","Y","Y","Y","Y","B","B","Y","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","O","Y","Y","B","O","O","O","O","B","O","Y","O","B","Y","B","Y","Y","Y","Y","B","Y","Y","Y","Y","Y","Y","Y","B","Y","B","Y","Y","Y","Y","Y","Y"
